antecedents,consequents,support,confidence,lift
frozenset({'Alice'}),frozenset({'began'}),0.012704174228675136,0.05426356589147287,1.573643410852713
frozenset({'began'}),frozenset({'Alice'}),0.012704174228675136,0.368421052631579,1.5736434108527133
frozenset({'could'}),frozenset({'Alice'}),0.017543859649122806,0.43283582089552236,1.848779359018859
frozenset({'Alice'}),frozenset({'could'}),0.017543859649122806,0.07493540051679586,1.848779359018859
frozenset({'Alice'}),frozenset({'get'}),0.011494252873563218,0.04909560723514212,1.932262827611665
frozenset({'get'}),frozenset({'Alice'}),0.011494252873563218,0.4523809523809524,1.932262827611665
frozenset({'Alice'}),frozenset({'got'}),0.0102843315184513,0.04392764857881137,1.6502818886539814
frozenset({'got'}),frozenset({'Alice'}),0.0102843315184513,0.3863636363636363,1.6502818886539814
frozenset({'Alice'}),frozenset({'know'}),0.013309134906231096,0.056847545219638244,1.1459633200983173
frozenset({'know'}),frozenset({'Alice'}),0.013309134906231096,0.2682926829268293,1.1459633200983173
frozenset({'like'}),frozenset({'Alice'}),0.019963702359346643,0.40740740740740744,1.7401665231122596
frozenset({'Alice'}),frozenset({'like'}),0.019963702359346643,0.08527131782945736,1.7401665231122596
frozenset({'little'}),frozenset({'Alice'}),0.021778584392014518,0.3185840707964602,1.3607738217740275
frozenset({'Alice'}),frozenset({'little'}),0.021778584392014518,0.09302325581395349,1.3607738217740275
frozenset({'looked'}),frozenset({'Alice'}),0.013914095583787053,0.5348837209302325,2.2846583738957995
frozenset({'Alice'}),frozenset({'looked'}),0.013914095583787053,0.059431524547803614,2.2846583738957995
frozenset({'much'}),frozenset({'Alice'}),0.01693889897156685,0.56,2.391937984496124
frozenset({'Alice'}),frozenset({'much'}),0.01693889897156685,0.0723514211886305,2.391937984496124
frozenset({'one'}),frozenset({'Alice'}),0.012704174228675136,0.23863636363636362,1.019291754756871
frozenset({'Alice'}),frozenset({'one'}),0.012704174228675136,0.05426356589147287,1.019291754756871
frozenset({'quite'}),frozenset({'Alice'}),0.014519056261343012,0.5,2.135658914728682
frozenset({'Alice'}),frozenset({'quite'}),0.014519056261343012,0.06201550387596899,2.1356589147286824
frozenset({'Alice'}),frozenset({'round'}),0.0102843315184513,0.04392764857881137,1.8153100775193798
frozenset({'round'}),frozenset({'Alice'}),0.0102843315184513,0.425,1.8153100775193798
frozenset({'Alice'}),frozenset({'said'}),0.09860859044162129,0.42118863049095606,1.5506120405379742
frozenset({'said'}),frozenset({'Alice'}),0.09860859044162129,0.36302895322939865,1.5506120405379742
frozenset({'say'}),frozenset({'Alice'}),0.013309134906231096,0.43137254901960786,1.842529259765922
frozenset({'Alice'}),frozenset({'say'}),0.013309134906231096,0.056847545219638244,1.8425292597659217
frozenset({'Alice'}),frozenset({'see'}),0.013309134906231096,0.056847545219638244,1.4682655038759689
frozenset({'see'}),frozenset({'Alice'}),0.013309134906231096,0.34375,1.4682655038759689
frozenset({'Alice'}),frozenset({'think'}),0.012704174228675136,0.05426356589147287,1.7939534883720931
frozenset({'think'}),frozenset({'Alice'}),0.012704174228675136,0.42000000000000004,1.7939534883720931
frozenset({'thought'}),frozenset({'Alice'}),0.03508771929824561,0.7837837837837837,3.347789650115231
frozenset({'Alice'}),frozenset({'thought'}),0.03508771929824561,0.1498708010335917,3.3477896501152307
frozenset({'time'}),frozenset({'Alice'}),0.012099213551119177,0.3076923076923077,1.3142516398330353
frozenset({'Alice'}),frozenset({'time'}),0.012099213551119177,0.05167958656330749,1.314251639833035
frozenset({'way'}),frozenset({'Alice'}),0.013914095583787053,0.45999999999999996,1.9648062015503875
frozenset({'Alice'}),frozenset({'way'}),0.013914095583787053,0.059431524547803614,1.9648062015503875
frozenset({'went'}),frozenset({'Alice'}),0.016333938294010888,0.3292682926829268,1.406409529211571
frozenset({'Alice'}),frozenset({'went'}),0.016333938294010888,0.06976744186046512,1.4064095292115713
frozenset({'Alice'}),frozenset({'would'}),0.014519056261343012,0.06201550387596899,1.7374852187623178
frozenset({'would'}),frozenset({'Alice'}),0.014519056261343012,0.4067796610169492,1.7374852187623178
frozenset({'said'}),frozenset({'Cat'}),0.011494252873563218,0.042316258351893093,2.690337502141511
frozenset({'Cat'}),frozenset({'said'}),0.011494252873563218,0.7307692307692307,2.690337502141511
frozenset({'Caterpillar'}),frozenset({'said'}),0.012099213551119177,0.7692307692307693,2.831934212780538
frozenset({'said'}),frozenset({'Caterpillar'}),0.012099213551119177,0.044543429844097995,2.831934212780538
frozenset({'Duchess'}),frozenset({'said'}),0.012099213551119177,0.48780487804878053,1.7958607202998536
frozenset({'said'}),frozenset({'Duchess'}),0.012099213551119177,0.044543429844097995,1.7958607202998533
frozenset({'Gryphon'}),frozenset({'said'}),0.012704174228675136,0.38888888888888895,1.43170007423905
frozenset({'said'}),frozenset({'Gryphon'}),0.012704174228675136,0.0467706013363029,1.43170007423905
frozenset({'Hare'}),frozenset({'March'}),0.018148820326678767,1.0,53.32258064516129
frozenset({'March'}),frozenset({'Hare'}),0.018148820326678767,0.967741935483871,53.32258064516129
frozenset({'said'}),frozenset({'Hatter'}),0.01693889897156685,0.062360801781737196,1.8742255517311195
frozenset({'Hatter'}),frozenset({'said'}),0.01693889897156685,0.509090909090909,1.8742255517311195
frozenset({'King'}),frozenset({'said'}),0.025408348457350273,0.7118644067796611,2.6207391189460574
frozenset({'said'}),frozenset({'King'}),0.025408348457350273,0.0935412026726058,2.6207391189460574
frozenset({'Turtle'}),frozenset({'Mock'}),0.0338777979431337,0.9655172413793104,28.5
frozenset({'Mock'}),frozenset({'Turtle'}),0.0338777979431337,1.0,28.5
frozenset({'Mock'}),frozenset({'said'}),0.019358741681790685,0.5714285714285715,2.103722558065543
frozenset({'said'}),frozenset({'Mock'}),0.019358741681790685,0.0712694877505568,2.1037225580655425
frozenset({'Queen'}),frozenset({'said'}),0.01572897761645493,0.3611111111111111,1.3294357832219748
frozenset({'said'}),frozenset({'Queen'}),0.01572897761645493,0.05790645879732739,1.3294357832219748
frozenset({'White'}),frozenset({'Rabbit'}),0.013309134906231096,1.0,38.44186046511628
frozenset({'Rabbit'}),frozenset({'White'}),0.013309134906231096,0.5116279069767442,38.44186046511628
frozenset({'Turtle'}),frozenset({'said'}),0.019358741681790685,0.5517241379310346,2.031180400890869
frozenset({'said'}),frozenset({'Turtle'}),0.019358741681790685,0.0712694877505568,2.031180400890869
frozenset({'said'}),frozenset({'know'}),0.014519056261343012,0.053452115812917596,1.077516432179912
frozenset({'know'}),frozenset({'said'}),0.014519056261343012,0.2926829268292683,1.077516432179912
frozenset({'much'}),frozenset({'said'}),0.012099213551119177,0.4,1.4726057906458798
frozenset({'said'}),frozenset({'much'}),0.012099213551119177,0.044543429844097995,1.4726057906458798
frozenset({'said'}),frozenset({'tone'}),0.012099213551119177,0.044543429844097995,1.8407572383073496
frozenset({'tone'}),frozenset({'said'}),0.012099213551119177,0.5,1.8407572383073496
frozenset({'said'}),frozenset({'would'}),0.012099213551119177,0.044543429844097995,1.247971009021932
frozenset({'would'}),frozenset({'said'}),0.012099213551119177,0.33898305084745767,1.2479710090219323
"frozenset({'Turtle', 'Mock'})",frozenset({'said'}),0.019358741681790685,0.5714285714285715,2.103722558065543
"frozenset({'Turtle', 'said'})",frozenset({'Mock'}),0.019358741681790685,1.0,29.517857142857142
"frozenset({'Mock', 'said'})",frozenset({'Turtle'}),0.019358741681790685,1.0,28.5
frozenset({'Turtle'}),"frozenset({'Mock', 'said'})",0.019358741681790685,0.5517241379310346,28.500000000000004
frozenset({'Mock'}),"frozenset({'Turtle', 'said'})",0.019358741681790685,0.5714285714285715,29.517857142857146
frozenset({'said'}),"frozenset({'Turtle', 'Mock'})",0.019358741681790685,0.0712694877505568,2.1037225580655425
